AS,Attractor,Basin size,De,Interactions,C. + largo
0,00000000000000000000000000,3168,0,223,2
1,10000000000001000000010000,9216,33558544,127,3
2,01000000000000000100100110,8064,16777510,127,3
3,11000000000001000100110110,24576,50336054,127,4
4,00100000000000000000000001,3168,8388609,223,2
5,10100000000001000000010001,9216,41947153,127,3
6,01100000000000000100100111,8064,25166119,127,3
7,11100000000001000100110111,24576,58724663,127,4
8,00010000001101000000010000,24576,4247568,495,3
9,10010000001101000000010000,24576,37802000,511,3
10,01010000001101000100110100,65536,21025076,383,4
11,11010000001101000100110100,65536,54579508,383,4
12,00110000001101000000010001,24576,12636177,495,3
13,10110000001101000000010001,24576,46190609,511,3
14,01110000001101000100110101,65536,29413685,383,4
15,11110000001101000100110101,65536,62968117,383,4
16,00001000000011000001011000,9216,2109528,47,6
17,10001000000011000001011000,9216,35663960,63,5
18,01001000000001000100110110,19104,18878774,95,6
19,11001000000001000100110110,24576,52433206,127,6
20,00101000000011000001011001,9216,10498137,47,6
21,10101000000011000001011001,9216,44052569,63,5
22,01101000000001000100110111,19104,27267383,95,6
23,11101000000001000100110111,24576,60821815,127,6
24,00011000001111000001011000,24576,6352984,175,5
25,10011000001111000001011000,24576,39907416,191,5
26,01011000001101000100110100,65536,23122228,383,6
27,11011000001101000100110100,65536,56676660,383,6
28,00111000001111000001011001,24576,14741593,175,5
29,10111000001111000001011001,24576,48296025,191,5
30,01111000001101000100110101,65536,31510837,383,6
31,11111000001101000100110101,65536,65065269,383,6
32,00000100000101000000010000,24576,1069072,383,4
33,10000100000101000000010000,24576,34623504,383,4
34,01000100000101000100110100,65536,17846580,383,4
35,11000100000101000100110100,65536,51401012,383,4
36,00100100000101000000010001,24576,9457681,383,4
37,10100100000101000000010001,24576,43012113,383,4
38,01100100000101000100110101,65536,26235189,383,4
39,11100100000101000100110101,65536,59789621,383,4
40,00010100001101000000010000,24576,5296144,511,3
41,10010100001101000000010000,24576,38850576,511,3
42,01010100001101000100110100,65536,22073652,383,4
43,11010100001101000100110100,65536,55628084,383,4
44,00110100001101000000010001,24576,13684753,511,3
45,10110100001101000000010001,24576,47239185,511,3
46,01110100001101000100110101,65536,30462261,383,4
47,11110100001101000100110101,65536,64016693,383,4
48,00001100000111000001011000,24576,3174488,127,5
49,10001100000111000001011000,24576,36728920,127,5
50,01001100000101000100110100,65536,19943732,383,6
51,11001100000101000100110100,65536,53498164,383,6
52,00101100000111000001011001,24576,11563097,127,5
53,10101100000111000001011001,24576,45117529,127,5
54,01101100000101000100110101,65536,28332341,383,6
55,11101100000101000100110101,65536,61886773,383,6
56,00011100001111000001011000,24576,7401560,191,5
57,10011100001111000001011000,24576,40955992,191,5
58,01011100001101000100110100,65536,24170804,383,6
59,11011100001101000100110100,65536,57725236,383,6
60,00111100001111000001011001,24576,15790169,191,5
61,10111100001111000001011001,24576,49344601,191,5
62,01111100001101000100110101,65536,32559413,383,6
63,11111100001101000100110101,65536,66113845,383,6
64,00000010000000000000000000,3168,524288,223,2
65,10000010000000100000100010,24576,34080802,191,4
66,01000010000000000100100110,8064,17301798,127,3
67,11000010000000100000100010,24576,50858018,191,4
68,00100010000000000000000001,3168,8912897,223,2
69,10100010000000100000100011,24576,42469411,191,4
70,01100010000000000100100111,8064,25690407,127,3
71,11100010000000100000100011,24576,59246627,191,4
72,00010010001101000000010000,24576,4771856,495,3
73,10010010001100100000110000,65536,38324272,2687,3
74,01010010001101000100110100,65536,21549364,383,4
75,11010010001100100000110000,65536,55101488,2687,3
76,00110010001101000000010001,24576,13160465,495,3
77,10110010001100100000110001,65536,46712881,2687,3
78,01110010001101000100110101,65536,29937973,383,4
79,11110010001100100000110001,65536,63490097,2687,3
80,00001010000011000001011000,9216,2633816,47,6
81,10001010000010100001111000,24576,36186232,255,5
82,01001010000001000100110110,19104,19403062,95,6
83,11001010000010100001111000,24576,52963448,255,5
84,00101010000011000001011001,9216,11022425,47,6
85,10101010000010100001111001,24576,44574841,255,5
86,01101010000001000100110111,19104,27791671,95,6
87,11101010000010100001111001,24576,61352057,255,5
88,00011010001111000001011000,24576,6877272,175,5
89,10011010001110100001111000,65536,40429688,767,5
90,01011010001101000100110100,65536,23646516,383,6
91,11011010001110100001111000,65536,57206904,767,5
92,00111010001111000001011001,24576,15265881,175,5
93,10111010001110100001111001,65536,48818297,767,5
