"attractorAssignment" "transitionsToAttractor"
"1" 1 0
"2" 2 0
"3" 2 0
"4" 3 0
"5" 1 1
"6" 2 0
"7" 2 1
"8" 3 0
"9" 1 2
"10" 2 2
"11" 2 0
"12" 3 0
"13" 1 2
"14" 2 2
"15" 2 1
"16" 3 0
"17" 1 4
"18" 4 3
"19" 4 1
"20" 4 6
"21" 1 1
"22" 2 1
"23" 2 1
"24" 3 1
"25" 1 4
"26" 4 3
"27" 4 2
"28" 4 6
"29" 1 2
"30" 2 2
"31" 2 1
"32" 3 1
"33" 1 3
"34" 4 0
"35" 4 2
"36" 4 5
"37" 1 3
"38" 4 1
"39" 4 2
"40" 4 5
"41" 1 3
"42" 4 1
"43" 4 2
"44" 4 5
"45" 1 3
"46" 4 1
"47" 4 2
"48" 4 5
"49" 1 4
"50" 4 3
"51" 4 3
"52" 1 6
"53" 1 3
"54" 4 1
"55" 4 2
"56" 4 5
"57" 1 4
"58" 4 3
"59" 4 3
"60" 1 6
"61" 1 3
"62" 4 1
"63" 4 2
"64" 4 5
"65" 1 2
"66" 4 3
"67" 4 3
"68" 3 3
"69" 1 2
"70" 4 1
"71" 4 3
"72" 4 8
"73" 1 2
"74" 2 2
"75" 4 3
"76" 3 3
"77" 1 2
"78" 2 2
"79" 4 3
"80" 4 8
"81" 1 4
"82" 4 4
"83" 4 3
"84" 4 6
"85" 1 4
"86" 4 4
"87" 4 3
"88" 4 6
"89" 1 4
"90" 4 3
"91" 4 3
"92" 4 6
"93" 1 4
"94" 4 3
"95" 4 3
"96" 4 6
"97" 1 3
"98" 4 2
"99" 4 2
"100" 4 5
"101" 1 3
"102" 4 2
"103" 4 2
"104" 4 5
"105" 1 3
"106" 4 2
"107" 4 2
"108" 4 5
"109" 1 3
"110" 4 2
"111" 4 2
"112" 4 5
"113" 1 4
"114" 4 3
"115" 4 3
"116" 1 6
"117" 1 4
"118" 4 3
"119" 4 3
"120" 1 6
"121" 1 4
"122" 4 3
"123" 4 3
"124" 1 6
"125" 1 4
"126" 4 3
"127" 4 3
"128" 1 6
"129" 1 1
"130" 4 2
"131" 2 1
"132" 4 7
"133" 1 1
"134" 4 2
"135" 2 1
"136" 4 7
"137" 1 2
"138" 2 2
"139" 2 1
"140" 3 2
"141" 1 2
"142" 2 2
"143" 2 1
"144" 3 2
"145" 1 4
"146" 4 4
"147" 4 0
"148" 1 7
"149" 1 1
"150" 4 2
"151" 2 1
"152" 4 7
"153" 1 4
"154" 4 3
"155" 4 2
"156" 4 6
"157" 1 2
"158" 2 2
"159" 2 1
"160" 3 2
"161" 1 3
"162" 4 2
"163" 4 2
"164" 4 5
"165" 1 3
"166" 4 2
"167" 4 2
"168" 4 5
"169" 1 3
"170" 4 2
"171" 4 2
"172" 4 5
"173" 1 3
"174" 4 2
"175" 4 2
"176" 4 5
"177" 1 4
"178" 4 3
"179" 4 3
"180" 1 6
"181" 1 3
"182" 4 2
"183" 4 2
"184" 4 5
"185" 1 4
"186" 4 3
"187" 4 3
"188" 1 6
"189" 1 3
"190" 4 2
"191" 4 2
"192" 4 5
"193" 1 2
"194" 4 0
"195" 4 3
"196" 1 8
"197" 1 2
"198" 4 1
"199" 4 3
"200" 1 8
"201" 1 2
"202" 2 2
"203" 4 3
"204" 4 8
"205" 1 2
"206" 2 2
"207" 4 3
"208" 4 8
"209" 1 4
"210" 4 4
"211" 4 3
"212" 1 7
"213" 1 4
"214" 4 4
"215" 4 3
"216" 1 7
"217" 1 4
"218" 4 3
"219" 4 3
"220" 4 6
"221" 1 4
"222" 4 3
"223" 4 3
"224" 4 6
"225" 1 3
"226" 4 2
"227" 4 2
"228" 4 5
"229" 1 3
"230" 4 2
"231" 4 2
"232" 4 5
"233" 1 3
"234" 4 2
"235" 4 2
"236" 4 5
"237" 1 3
"238" 4 2
"239" 4 2
"240" 4 5
"241" 1 4
"242" 4 3
"243" 4 3
"244" 1 6
"245" 1 4
"246" 4 3
"247" 4 3
"248" 1 6
"249" 1 4
"250" 4 3
"251" 4 3
"252" 1 6
"253" 1 4
"254" 4 3
"255" 4 3
"256" 1 6
"257" 1 2
"258" 4 3
"259" 4 1
"260" 4 9
"261" 1 2
"262" 4 1
"263" 4 1
"264" 1 9
"265" 1 2
"266" 2 2
"267" 4 2
"268" 4 9
"269" 1 2
"270" 2 2
"271" 4 2
"272" 1 9
"273" 1 4
"274" 4 4
"275" 4 3
"276" 4 6
"277" 1 2
"278" 4 1
"279" 4 1
"280" 1 9
"281" 1 4
"282" 4 3
"283" 4 3
"284" 4 6
"285" 1 2
"286" 2 2
"287" 4 2
"288" 1 9
"289" 1 3
"290" 4 2
"291" 4 2
"292" 4 5
"293" 1 3
"294" 4 2
"295" 4 2
"296" 4 5
"297" 1 3
"298" 4 2
"299" 4 2
"300" 4 5
"301" 1 3
"302" 4 2
"303" 4 2
"304" 4 5
"305" 1 4
"306" 4 3
"307" 4 3
"308" 1 6
"309" 1 3
"310" 4 2
"311" 4 2
"312" 4 5
"313" 1 4
"314" 4 3
"315" 4 3
"316" 1 6
"317" 1 3
"318" 4 2
"319" 4 2
"320" 4 5
"321" 1 2
"322" 4 3
"323" 4 1
"324" 4 9
"325" 1 2
"326" 4 1
"327" 4 1
"328" 1 9
"329" 1 2
"330" 2 2
"331" 4 2
"332" 4 9
"333" 1 2
"334" 2 2
"335" 4 2
"336" 1 9
"337" 1 4
"338" 4 4
"339" 4 3
"340" 4 6
"341" 1 4
"342" 4 4
"343" 4 3
"344" 4 6
"345" 1 4
"346" 4 3
"347" 4 3
"348" 4 6
"349" 1 4
"350" 4 3
"351" 4 3
"352" 4 6
"353" 1 3
"354" 4 2
"355" 4 2
"356" 4 5
"357" 1 3
"358" 4 2
"359" 4 2
"360" 4 5
"361" 1 3
"362" 4 2
"363" 4 2
"364" 4 5
"365" 1 3
"366" 4 2
"367" 4 2
"368" 4 5
"369" 1 4
"370" 4 3
"371" 4 3
"372" 1 6
"373" 1 4
"374" 4 3
"375" 4 3
"376" 1 6
"377" 1 4
"378" 4 3
"379" 4 3
"380" 1 6
"381" 1 4
"382" 4 3
"383" 4 3
"384" 1 6
"385" 1 2
"386" 4 1
"387" 4 1
"388" 1 8
"389" 1 2
"390" 4 1
"391" 4 0
"392" 1 8
"393" 1 2
"394" 2 2
"395" 4 2
"396" 1 8
"397" 1 2
"398" 2 2
"399" 4 2
"400" 1 8
"401" 1 4
"402" 4 4
"403" 4 3
"404" 1 7
"405" 1 2
"406" 4 1
"407" 4 1
"408" 1 8
"409" 1 4
"410" 4 3
"411" 4 3
"412" 1 7
"413" 1 2
"414" 2 2
"415" 4 2
"416" 1 8
"417" 1 3
"418" 4 2
"419" 4 2
"420" 4 5
"421" 1 3
"422" 4 2
"423" 4 2
"424" 4 5
"425" 1 3
"426" 4 2
"427" 4 2
"428" 4 5
"429" 1 3
"430" 4 2
"431" 4 2
"432" 4 5
"433" 1 4
"434" 4 3
"435" 4 3
